niche,geography,rpm_low,rpm_high,currency,memberships_available,seed_queries,source_url,retrieved_at
finance,US,20,40,USD,true,how to build an emergency fund|index fund vs mutual fund|roth ira explained for beginners,https://fluxnote.io/guides/youtube-rpm-by-niche-usa-2026,2026-07-26
business,US,15,30,USD,true,how to price a service business|first ten customers for a startup|small business cash flow basics,https://fluxnote.io/guides/youtube-rpm-by-niche-usa-2026,2026-07-26
tech,US,15,25,USD,true,self hosted alternatives to google|linux for windows switchers|home server on a budget,https://fluxnote.io/guides/youtube-rpm-by-niche-usa-2026,2026-07-26
health,US,8,15,USD,true,zone 2 cardio for beginners|protein intake per body weight|sleep apnea signs to watch,https://fluxnote.io/guides/youtube-rpm-by-niche-usa-2026,2026-07-26
education,US,8,15,USD,true,active recall study method|how to learn a language faster|note taking system for students,https://fluxnote.io/guides/youtube-rpm-by-niche-usa-2026,2026-07-26
diy,US,8,14,USD,true,fix a leaking kitchen tap|build a workbench from plywood|insulate a garage door cheaply,https://fluxnote.io/guides/youtube-rpm-by-niche-usa-2026,2026-07-26
food,US,6,12,USD,true,one pot meals for beginners|sourdough starter from scratch|meal prep for the week,https://fluxnote.io/guides/youtube-rpm-by-niche-usa-2026,2026-07-26
travel,US,6,12,USD,true,budget travel in southeast asia|solo travel safety tips|carry on only packing guide,https://fluxnote.io/guides/youtube-rpm-by-niche-usa-2026,2026-07-26
gaming,US,2,5,USD,true,speedrun strategies explained slowly|indie games you missed this year|game design breakdown analysis,https://fluxnote.io/guides/youtube-rpm-by-niche-usa-2026,2026-07-26
entertainment,US,2,5,USD,true,movie ending explained in detail|film editing techniques explained|why this scene works,https://fluxnote.io/guides/youtube-rpm-by-niche-usa-2026,2026-07-26
true_crime,US,4,8,USD,true,unsolved cold case analysis|forensic evidence explained simply|courtroom testimony breakdown,https://becomeviral.com/blog/youtube-rpm-by-niche,2026-07-26
history,US,5,12,USD,true,forgotten battles of the war|daily life in ancient rome|how empires actually collapsed,https://becomeviral.com/blog/youtube-rpm-by-niche,2026-07-26
science,US,5,9,USD,true,why the sky is blue explained|quantum entanglement for beginners|how vaccines actually work,https://becomeviral.com/blog/youtube-rpm-by-niche,2026-07-26
self_improvement,US,5.70,5.70,USD,true,building habits that actually stick|how to stop procrastinating today|deep work for beginners,https://outlierkit.com/blog/most-profitable-youtube-niches,2026-07-26
kids,US,1,3,USD,false,animated stories for toddlers|learn colors with animals|nursery rhymes for babies,https://www.techtimes.com/articles/320340/20260713/ai-kids-cartoon-gold-rush-has-hidden-tax-coppa-cuts-revenue-80.htm,2026-07-26
finance,IN,80,250,INR,true,best index funds in india|nps vs ppf comparison|how to file itr online,https://www.identitykit.in/blog/youtube-rpm-india-niche-2026,2026-07-26
tech,IN,60,180,INR,true,budget laptops for students india|upi payment security tips|jio vs airtel speed test,https://www.identitykit.in/blog/youtube-rpm-india-niche-2026,2026-07-26
education,IN,100,150,INR,true,upsc preparation without coaching|jee physics problem solving|english speaking practice daily,https://www.identitykit.in/blog/youtube-rpm-india-niche-2026,2026-07-26
