permalink,author,posted_on,outcome,handles,money,claim,first_seen,last_seen
https://www.threads.net/@adamdelduca/post/DaxV59FoGK2,adamdelduca,07/14/26,no_channel,,"$6,000","I asked Claude to build me a 2 hour a week faceless YouTube channel 30 days later it had made me over $6,000 Here’s how I did it and how you can do the same:",2026-07-30,2026-07-30
https://www.threads.net/@wannercashcow/post/DKZjiaqt_aO,wannercashcow,06/02/25,unread,,"$116,900","$116,900 in 12 months from ONE faceless YouTube channel. This is why I fucking love YouTube. Just compare this to TikTok or IG 💀",2026-07-30,2026-07-30
https://www.threads.net/@onlinemoneyai1/post/DI4jWJoyuNT,onlinemoneyai1,04/25/25,verified,someunfilteredguy,"$3,084 308K subs","Daily Youtube Automation Faceless Channel Idea: DAY 35: → Made $3,084​ in the last 28 days → 308K subscribers → 9 videos total → 784,928​ views in the last 28 days → 8,415,706 views total Niche RPM ra",2026-07-30,2026-07-30
https://www.threads.net/@deividasjon/post/DKfQBtnsCtu,deividasjon,06/04/25,no_channel,,"$0,","IF MY BANK ACCOUNT HIT $0, I’D LAUNCH A FACELESS YOUTUBE CHANNEL TODAY No camera. No mic. No budget. Just ChatGPT, CapCut, and automation doing the heavy lifting. Here’s the exact workflow I’d use to ",2026-07-30,2026-07-30
https://www.threads.net/@youtubeniels/post/DXAcaqjEt5J,youtubeniels,04/11/26,no_channel,,,Claude is INSANE for faceless YouTube I've been using it to find high RPM niches targeting older audiences and it's literally giving me goldmines.. Here are the 4 prompts I use (save this) 👇🏼🧵,2026-07-30,2026-07-30
https://www.threads.net/@kamalkhan_28/post/DVodd5ZjgKH,kamalkhan_28,03/08/26,unread,,901M views,901M views in one year. Faceless YouTube is not luck… it's strategy.,2026-07-30,2026-07-30
https://www.threads.net/@tubelabhq/post/DJE8Iv1o4g-,tubelabhq,04/30/25,no_channel,,$3 $6 $0.5 $1,This faceless YouTube channel made $3K-$6K in 1 MONTH! • Started this month - 6.5M+ views • Estimated RPM of $0.5-$1 (short videos) Title Format: I found [PLAYER] Last X [ACTION] Twist this format int,2026-07-30,2026-07-30
https://www.threads.net/@socialtypro/post/C-5-b1KSx6r,socialtypro,08/20/24,no_channel,,,Faceless videos are DOMINATING YouTube right now!! Here are the top 15 faceless video channel ideas you can monetize! 👇,2026-07-30,2026-07-30
https://www.threads.net/@rpm.farmer/post/DXWYo-JiGZB,rpm.farmer,04/20/26,unread,,,The best decision I ever made was getting into Faceless YouTube & Automation,2026-07-30,2026-07-30
https://www.threads.net/@scottsmithyta/post/DalNWlZmTrz,scottsmithyta,07/09/26,unread,,"$30,626","One of my 22 faceless YouTube channels made $30,626 last month. AI handles 80% of the work. Freelancers handle the other 20%. Steal my blueprint:",2026-07-30,2026-07-30
https://www.threads.net/@robert333825/post/DaZAyCxj6XJ,robert333825,07/05/26,unread,,$109,I don't understand why people don't just lock in on YouTube My faceless YouTube channels make me $109K +/month (long form only) There is 𝗻𝗼 𝗹𝘂𝗰𝗸 involved. Let me send you a free course on exactly how ,2026-07-30,2026-07-30
https://www.threads.net/@deividasjon/post/DLCAYdysJyx,deividasjon,06/18/25,no_channel,,$0,"IF I LOST EVERYTHING, I’D START A FACELESS YOUTUBE CHANNEL TODAY No camera. No voice. No budget. Just ChatGPT, CapCut, and a ruthless execution plan. Here’s the exact step-by-step I’d follow to go fro",2026-07-30,2026-07-30
https://www.threads.net/@promptmenu/post/DJBOIJApw2-,promptmenu,04/29/25,no_channel,,"$1,200","HOW I BUILT A FACELESS YOUTUBE CHANNEL WITH CHATGPT + CANVA [PART 4] $1,200+ in just 3 weeks. No talking. No filming. No showing my face. Here are the 7 prompts that made it happen:",2026-07-30,2026-07-30
https://www.threads.net/@leogrundstrom/post/DWjyOimCMZB,leogrundstrom,03/31/26,unread,,,if you're confused about youtube automation here are 56 steps to go from zero to final faceless youtube video:,2026-07-30,2026-07-30
https://www.threads.net/@shubhek.gupta/post/DaxoWimoOd2,shubhek.gupta,07/14/26,unread,,,Save this! Want to start a YouTube channel without showing your face? These 30 trending faceless YouTube channel ideas can help you get started. Save this post for your next content idea. Follow for m,2026-07-30,2026-07-30
https://www.threads.net/@faceless_youtube_academy/post/DbTzH0LjMUs,faceless_youtube_academy,2d,unread,,$22,"$22K+ in 28 days. 🚀 This is what the right YouTube strategy can do. I help people build and manage profitable faceless YouTube channels. 📩 Drop ""YOUTUBE"" to get started",2026-07-30,2026-07-30
https://www.threads.net/@nora.onherown/post/DIjpTkFReGy,nora.onherown,04/17/25,unread,,,CHATGPT + YOUTUBE = FACELESS REVENUE MACHINE No camera. No mic. No editing. Just smart prompts and faceless content that prints money. Use these 7 tips to turn YouTube into your passive income engine ,2026-07-30,2026-07-30
https://www.threads.net/@facelesschems/post/DGSouHjy_4r,facelesschems,02/20/25,unread,,"$10,000","20 faceless YouTube niches that can pay you $10,000/mo Sorry, we're having trouble playing this video.",2026-07-30,2026-07-30
https://www.threads.net/@wannercashcow/post/DGc5Cpihoge,wannercashcow,02/24/25,unread,,,25 faceless YouTube channels that are BLOWING UP right now.. 🚀 1) Bound,2026-07-30,2026-07-30
https://www.threads.net/@promptflow.hq/post/DXrgLeyDdL0,promptflow.hq,04/28/26,unread,,$5,THE FACELESS YouTube CHANNEL STACK From An Idea →To Publish. No Team. No Agency. No $5K/Mo. Log in for more threads about this topic.,2026-07-30,2026-07-30
